article,test,temperature0,temperature0.4,"temperature0,7"
62dbdc5d446246b739353a25,sentence_ratio,"solar roofing, steel, perovskite solar cells","{""1"": ""solar roofing"", ""2"": ""Active Buildings"", ""3"": ""perovskite solar cells""}'}","{""topic 1"": ""Solar roofing panels"", ""topic 2"": ""Active Buildings"", ""topic 3"": ""Perovskite solar cells""}"
,100words,"{""1"": ""solar roofing"", ""2"": ""perovskite solar cells"", ""3"": ""collaboration""}","{""1"": ""solar roofing"", ""2"": ""perovskite solar cells"", ""3"": ""collaboration""}","{""1"": ""Solar Roofing"", ""2"": ""Active Buildings"", ""3"": ""Perovskite Solar Cells""}"
,3sentences,"solar roofing, steel, perovskite solar cells","solar roofing, steel, perovskite solar cells","{""1"": ""solar roofing"", ""2"": ""steel"", ""3"": ""perovskite solar cells""}"
62fa17160446b71de0b4f6aa,sentence_ratio,"solar technology, CdTe, efficiency","{""1"": ""CdTe technology"", ""2"": ""solar cells"", ""3"": ""consortium""}","{""1"": ""CdTe technologies"", ""2"": ""thin-film solar cells"", ""3"": ""cell efficiencies""}"
,100words,"{""1"": ""solar cells"", ""2"": ""CdTe technologies"", ""3"": ""manufacturing costs""}","{""1"": ""solar cells"", ""2"": ""CdTe technologies"", ""3"": ""manufacturing costs""}","{""1"": ""solar cells"", ""2"": ""CdTe technology"", ""3"": ""manufacturing costs""}"
,3sentences,1. CdTe solar cells\n2. Thin-film solar cell technologies\n3. Photovoltaic industry,1. CdTe solar cells\n2. Thin-film technology\n3. Photovoltaic industry,"{""1"": ""CdTe Accelerator Consortium"", ""2"": ""solar cell technologies"", ""3"": ""manufacturing costs""}"
62e362b445227260e558a1a0,sentence_ratio,"Sustainability, Demolition, Collaboration","{""1"": ""sustainable demolition"", ""2"": ""equipment reuse"", ""3"": ""environmental impact""}","{""1"": ""sustainable demolition"", ""2"": ""equipment recovery"", ""3"": ""environmental impact""}"
,100words,"{""1"": ""sustainable demolition"", ""2"": ""collaboration"", ""3"": ""eco-friendly practices""}","{""1"": ""sustainable demolition"", ""2"": ""collaboration"", ""3"": ""eco-friendly practices""}","{""1"": ""sustainable demolition"", ""2"": ""collaboration"", ""3"": ""environmental safety""}"
,3sentences,"Sustainable Demolition, Reuse and Recycling, Collaboration","Sustainable Demolition, Reuse and Recycling, Collaboration","{""1"": ""sustainable demolition"", ""2"": ""equipment recycling"", ""3"": ""collaborative project""}"
632dc38b1ebd421da83d9b55,sentence_ratio,"1. Nuclear energy
2. Carbon neutrality
3. Energy transition","{""1"": ""nuclear energy"", ""2"": ""carbon neutrality"", ""3"": ""energy transition""}","{""1"": ""nuclear energy"", ""2"": ""carbon neutrality"", ""3"": ""energy transition""}"
,100words,"{""1"": ""nuclear energy"", ""2"": ""carbon neutrality"", ""3"": ""renewable energy""}","{""1"": ""nuclear energy"", ""2"": ""carbon neutrality"", ""3"": ""renewable energy""}","{""1"": ""nuclear energy"", ""2"": ""carbon neutrality"", ""3"": ""renewable energy""}"
,3sentences,"Nuclear energy, Carbon neutrality, Renewable energy","Nuclear energy, Carbon neutrality, Electrification","{""1"": ""nuclear energy"", ""2"": ""carbon neutrality"", ""3"": ""innovation""}"
6283b2100d572648e0b1ec30,sentence_ratio,"Nuclear decommissioning, clean-up, decommissioning","{""1"": ""reprocessing"", ""2"": ""decommissioning"", ""3"": ""clean-up""}","{""1"": ""reprocessing plant"", ""2"": ""decommissioning"", ""3"": ""Sellafield""}"
,100words,"{""1"": ""Nuclear Decommissioning"", ""2"": ""Reprocessing Plant"", ""3"": ""Space Strategy""}'}","{""1"": ""Nuclear Decommissioning"", ""2"": ""Reprocessing Plant"", ""3"": ""Space Strategy""}","{""1"": ""Nuclear Decommissioning"", ""2"": ""Magnox plant"", ""3"": ""Space Strategy""}"
,3sentences,"Nuclear decommissioning, Reprocessing, Clean-up","Nuclear decommissioning, Reprocessing, Clean-up","{""1"": ""Magnox reprocessing"", ""2"": ""Decommissioning"", ""3"": ""Clean-up""}"
62b1d670912c27961cf4134f,sentence_ratio,"Power plants, Product delivery, Commercialization","{""1"": ""product delivery"", ""2"": ""commercialization"", ""3"": ""business unit""}","{""1"": ""power plants"", ""2"": ""product delivery"", ""3"": ""commercialization""}"
,100words,"{""1"": ""Product delivery"", ""2"": ""SMR power plants"", ""3"": ""Commercialization""}","{""1"": ""Product delivery"", ""2"": ""SMR power plants"", ""3"": ""Commercialization""}","{""1"": ""Product Delivery"", ""2"": ""SMR Power Plants"", ""3"": ""Commercialization""}"
,3sentences,"Power plants, SMR technology, Commercialization","Power plants, SMR technology, Commercialization","{""1"": ""NuScale Power"", ""2"": ""VOYGR SMR"", ""3"": ""commercialization""}"
62bbdcd5446246b739b4ea62,sentence_ratio,"Chip development, 5G infrastructure, Power efficiency","{""1"": ""CML"", ""2"": ""chip"", ""3"": ""5G""}","{""1"": ""CML chip"", ""2"": ""5G mmWave"", ""3"": ""high power efficiency""}"
,100words,"{""1"": ""Bluetooth 5"", ""2"": ""mmWave systems"", ""3"": ""battery-powered devices""}","{""1"": ""Bluetooth 5"", ""2"": ""mmWave systems"", ""3"": ""battery-powered devices""}","{""1"": ""Bluetooth 5"", ""2"": ""mmWave systems"", ""3"": ""NFC support""}"
,3sentences,1. Chip development\n2. 5G mmWave infrastructure\n3. RFIC/MMIC design,1. Chip development\n2. 5G mmWave infrastructure\n3. RFIC/MMIC design,"{""1"": ""CMX90A702 chip"", ""2"": ""5G mmWave"", ""3"": ""SμRF family""}"
630ee43d2d81e0c9693ec010,sentence_ratio,"Space Cooperation, Commercial Space, Vertical Launch","{""1"": ""Space relationship"", ""2"": ""Vertical launch"", ""3"": ""International cooperation""}","{""1"": ""space relationship"", ""2"": ""vertical launch"", ""3"": ""international cooperation""}"
,100words,"{""1"": ""Space Operations"", ""2"": ""Rocket Company"", ""3"": ""Launch Capability""}","{""1"": ""Space Operations"", ""2"": ""Rocket Company"", ""3"": ""Launch Capability""}","{""1"" : ""Space Operations"", ""2"" : ""Rocket Company"", ""3"" : ""Launch Activity""}"
,3sentences,"Space cooperation, Rocket technology, International relations","Space cooperation, Rocket technology, International relations","{""1"" : ""space relationship"", ""2"" : ""international cooperation"", ""3"" : ""sovereign launch""}"
62e0bfb9446246b73994eda8,sentence_ratio,"Bluetooth module, antenna, battery-powered devices","{""1"": ""Bluetooth 5"", ""2"": ""Low Energy"", ""3"": ""NFC""}","{""1"": ""Bluetooth 5"", ""2"": ""Low Energy"", ""3"": ""NFC""}"
,100words,"{""1"": ""Bluetooth 5"", ""2"": ""Low Energy"", ""3"": ""NFC support""}","{""1"": ""Bluetooth 5"", ""2"": ""Low Energy"", ""3"": ""NFC support""}","{""1"": ""Bluetooth 5"", ""2"": ""Low Energy"", ""3"": ""nRF52840""}"
,3sentences,"Bluetooth, Antenna, NFC","Bluetooth module, antenna, long-range applications","{""1"": ""Bluetooth 5"", ""2"": ""Low Energy"", ""3"": ""External antenna""}"
6280fd7d548f796307279a7a,sentence_ratio,"Collaboration, GaN-on-Si, RF power","{""1"": ""GaN-on-Si technology"", ""2"": ""RF power applications"", ""3"": ""commercialization""}","{""1"": ""collaboration"", ""2"": ""GaN-on-Si technology"", ""3"": ""RF power applications""}"
,100words,"{""1"": ""GaN technology"", ""2"": ""RF power amplifiers"", ""3"": ""Collaboration""}","{""1"": ""GaN technology"", ""2"": ""RF power amplifiers"", ""3"": ""Collaboration""}","{""1"": ""GaN technology"", ""2"": ""RF power amplifiers"", ""3"": ""Collaboration""}"
